2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Zhong (30)	1 - 02:52'2	Zhong (30)	Reception	-	-	-	-	Running with ball	-	1.8	1.8	00:00'8	8.3	69.8	11.9	64.92	-	D 2	D 2
Zhong (30)	1 - 02:53'0	-	Running with ball	-	-	-	-	Foul - dir. free-kick	-	2	2	00:00'4	17.9	69.4	14	63.49	-	D 2	D 1
Chen (25)	1 - 03:11'8	Bassogog C. (10)	Pass	-	Direct free-kick	-	Straight	Pass	-	31.4	31.4	00:01'8	62.8	70.7	28.7	63.75	-	D 2	C 1
Bassogog C. (10)	1 - 03:13'6	Qian J. (26)	Pass	-	Ground duel	Chest	-	Pass	Indiv. loss of poss.	2.3	2.3	00:01'0	8.3	44.3	19.8	57.64	-	C 1	C 1
Qian J. (26)	1 - 03:14'6	Jiajun (23)	Pass	-	-	Header	-	Clearance	Indiv. gain of poss.	7.6	7.6	00:01'7	16.1	69.4	17.4	-59.27	-	C 1	B 1
Jiajun (23)	1 - 03:16'3	-	Clearance	-	-	-	-	Out for throw-in	Indiv. loss of poss.	11.9	11.9	00:00'4	107.1	77	19.9	-51.11	-	B 1	C 1
Du C. (07)	1 - 03:23'8	-	Pass	-	Throw-in	Two hands	-	Foul - dir. free-kick	-	17.1	17.1	00:01'5	41	53.8	25.7	50.51	-	C 1	B 1
Ivo (29)	1 - 03:57'3	Jiang S. (04)	Cross	Gaining(04.Jia)	Direct free-kick	Left foot	Straight	Neutral contact	-	39.7	28.2	00:01'5	67.7	37.8	35.2	45.21	-	B 1	A 2
Jiang S. (04)	1 - 03:58'8	Bassogog C. (10)	Neutral contact	-	Air duel	Header	-	Pass	-	11.5	11.5	00:02'6	15.9	94.5	14.5	-71.73	-	A 2	B 2
Bassogog C. (10)	1 - 04:01'4	Moreno (10)	Pass	-	Air duel	Header	-	Reception	Indiv. loss of poss.	4.8	4.8	00:02'4	7.2	22.4	14.6	63.21	-	B 2	B 2
Moreno (10)	1 - 04:03'8	Moreno (10)	Reception	-	-	-	-	Running with ball	Indiv. gain of poss.	7.3	7.3	00:01'1	23.8	86.5	9.5	-73.61	-	B 2	B 2
Moreno (10)	1 - 04:04'9	Moreno (10)	Running with ball	-	-	-	-	Running with ball	-	6.1	6.1	00:01'1	20	79.6	7.5	-83.51	-	B 2	B 3
Moreno (10)	1 - 04:06'0	Moreno (10)	Running with ball	-	-	-	-	Pass	-	6	6	00:00'9	24.1	74.5	6.6	88.87	-	B 3	C 3
Moreno (10)	1 - 04:06'9	Lu Y. (27)	Pass	Gaining(27.Lu)	-	-	-	Neutral contact	Indiv. loss of poss.	18.7	6.5	00:00'4	58.8	69.2	6.4	84.75	-	C 3	C 3
Lu Y. (27)	1 - 04:07'3	Ivo (29)	Neutral contact	-	-	-	-	Reception	Gaining neutral touch	12.2	12.2	00:01'9	23.1	42.2	7.8	-81.41	-	C 3	D 3
Ivo (29)	1 - 04:09'2	Ivo (29)	Reception	-	-	-	-	Running with ball	Coll. gain of poss.	13.6	13.6	00:02'0	24.5	54.2	11	-83.52	-	D 3	D 3
Ivo (29)	1 - 04:11'2	Ivo (29)	Running with ball	-	-	-	-	Running with ball	-	4.6	4.6	00:00'7	23.5	66.9	18	-72.22	-	D 3	D 3
Ivo (29)	1 - 04:11'9	Ivo (29)	Running with ball	-	-	-	-	Pass	-	13.2	13.2	00:02'2	21.7	71	21	-66.67	-	D 3	E 4
Ivo (29)	1 - 04:14'1	Lu Y. (27)	Pass	-	-	-	-	Reception	-	10.6	10.6	00:00'9	42.6	81.4	29.7	-46.91	-	E 4	E 3
Lu Y. (27)	1 - 04:15'0	Lu Y. (27)	Reception	-	-	-	-	Running with ball	-	2.1	2.1	00:01'4	5.5	74.4	19.9	-63.08	-	E 3	E 3
Lu Y. (27)	1 - 04:16'4	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	4.9	4.9	00:01'0	17.7	72.6	18.2	-66.19	-	E 3	D 3
Lu Y. (27)	1 - 04:17'4	Lu Y. (27)	Running with ball	-	-	-	-	Running with ball	-	5.7	5.7	00:00'9	22.8	67.7	15.1	-69.56	-	D 3	D 3
Lu Y. (27)	1 - 04:18'3	Lu Y. (27)	Running with ball	-	-	-	-	Pass	-	10.5	10.5	00:01'5	25.3	63	13.6	-69.42	-	D 3	C 4
Lu Y. (27)	1 - 04:19'8	Shilin (37)	Pass	Gaining(37.Shi)	-	-	-	Neutral contact	-	21.8	5.3	00:00'4	47.7	55.1	12.5	-67.95	-	C 4	C 4
Shilin (37)	1 - 04:20'2	Ivo (29)	Neutral contact	-	-	-	-	Reception	-	16.5	16.5	00:02'2	26.9	59.7	17.4	63.12	-	C 4	C 4
Ivo (29)	1 - 04:22'4	Ivo (29)	Reception	-	-	-	-	Running with ball	-	8.6	8.6	00:01'4	22.2	45	18.4	-51.04	-	C 4	B 4
