2019/7/16	Contact - List - Half-1-2 - Shanghai Greenland Shenhua-Henan Jianye		16	7	2019														
																			
Players	Time (period - mm:ss't)	Player2	Ball touch	Neutral touch	Simultaneous event	With what	Spin	Following event 	Loss and won	Loss-Gain distance	Distance	Duration	Speed	Distance to goal	Distance to referee	Angle	Direction	Zone	End zone
Qian J. (26)	2 - 24:55'1	Qian J. (26)	Reception	-	-	-	-	Pass	-	1.1	1.1	00:01'3	3.1	61.5	23.4	-78.24	-	C 2	C 2
Qian J. (26)	2 - 24:56'4	Zhu C. (05)	Pass	-	-	-	-	Reception	-	17.9	17.9	00:02'1	30.7	60.4	22.5	-79.11	-	C 2	B 3
Zhu C. (05)	2 - 24:58'5	Zhu C. (05)	Reception	-	-	-	-	Pass	-	1.3	1.3	00:01'0	4.7	71.3	31.8	81.28	-	B 3	B 3
Zhu C. (05)	2 - 24:59'5	Jiang S. (04)	Pass	-	-	-	-	Pass	-	26.9	26.9	00:02'3	42.1	71.6	30.9	79.08	-	B 3	B 1
Jiang S. (04)	2 - 25:01'8	Du C. (07)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	27.4	27.4	00:02'6	38	75	35.4	-58.12	-	B 1	D 1
Du C. (07)	2 - 25:04'4	Zhou D. (08)	Pass	-	-	Header	-	Pass	Indiv. gain of poss.	11	11	00:02'3	17.3	65.8	23.7	56.97	-	D 1	D 2
Zhou D. (08)	2 - 25:06'7	Karanga (37)	Pass	-	-	-	-	Reception	-	26.5	26.5	00:02'9	32.9	62.3	11.3	67.15	-	D 2	C 2
Karanga (37)	2 - 25:09'6	Karanga (37)	Reception	-	-	-	-	Running with ball	-	1	1	00:01'4	2.6	36.4	14.5	78.75	-	C 2	B 2
Karanga (37)	2 - 25:11'0	Cong Z. (39)	Running with ball	-	Tackle	-	-	Reception	Indiv. loss of poss.	2	2	00:00'8	9.2	35.4	12.9	78.59	-	B 2	B 2
Cong Z. (39)	2 - 25:11'8	Karanga (37)	Reception	-	Tackle	-	-	Pass	Indiv. loss of poss. - Indiv. gain of poss.	0.5	0.5	00:00'1	-	71.3	12.6	-75.3	-	B 2	B 2
Karanga (37)	2 - 25:11'9	Zhou D. (08)	Pass	-	Tackle	-	-	Pass	Indiv. gain of poss.	11.2	11.2	00:01'9	21.2	35	12.8	74.93	-	B 2	C 2
Zhou D. (08)	2 - 25:13'8	Shangyuan (26)	Pass	-	-	-	-	Reception	-	13.5	13.5	00:01'3	37.5	45.8	11.4	79.06	-	C 2	D 2
Shangyuan (26)	2 - 25:15'1	Shangyuan (26)	Reception	-	-	-	-	Pass	-	1.8	1.8	00:01'0	6.5	58.3	19.9	83.55	-	D 2	D 2
Shangyuan (26)	2 - 25:16'1	Bassogog C. (10)	Pass	-	-	-	-	Reception	-	38.3	38.3	00:01'9	72.5	58.6	20.7	81.37	-	D 2	B 1
Bassogog C. (10)	2 - 25:18'0	Bassogog C. (10)	Reception	-	-	-	-	Running with ball	-	3.7	3.7	00:01'2	11.1	39.5	29.3	42.74	-	B 1	B 1
Bassogog C. (10)	2 - 25:19'2	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	5.6	5.6	00:01'2	16.8	37.2	27	38.35	-	B 1	B 1
Bassogog C. (10)	2 - 25:20'4	Bassogog C. (10)	Running with ball	-	-	-	-	Running with ball	-	7	7	00:01'5	16.9	31.6	22.3	38.07	-	B 1	B 2
Bassogog C. (10)	2 - 25:21'9	Bassogog C. (10)	Running with ball	-	-	-	-	Shot not on target	-	2.3	2.3	00:00'5	16.2	25.6	14.8	45.32	-	B 2	B 2
Bassogog C. (10)	2 - 25:22'4	Zhu C. (05)	Shot not on target	Gaining(05.Zhu)	-	Left foot	-	Neutral contact	Indiv. loss of poss.	15.1	9.6	00:00'4	86.3	24.5	12.2	49.8	Out right (Low)	B 2	A 2
Zhu C. (05)	2 - 25:22'8	Qian J. (26)	Neutral contact	-	-	Chest	-	Reception	Gaining neutral touch	5.5	5.5	00:00'6	32.9	92.8	12.6	-56.31	-	A 2	B 2
Qian J. (26)	2 - 25:23'4	Qian J. (26)	Reception	-	-	-	-	Clearance	Coll. gain of poss.	7.9	7.9	00:01'6	17.8	88.9	10	-55.08	-	B 2	B 2
Qian J. (26)	2 - 25:25'0	Chen (25)	Clearance	-	-	-	-	Reception	Indiv. loss of poss.	28.2	28.2	00:02'2	46.2	83.4	4.5	-75.59	-	B 2	C 2
Chen (25)	2 - 25:27'2	Chen (25)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	11.6	11.6	00:02'2	19	50.7	27.5	72.07	-	C 2	C 1
Chen (25)	2 - 25:29'4	Zhu C. (05)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	32.3	32.3	00:02'8	41.5	54.1	28.8	59.93	-	C 1	B 2
Zhu C. (05)	2 - 25:32'2	Yunding C. (28)	Clearance	-	-	Header	-	Pass	Indiv. gain of poss.	27.7	27.7	00:02'2	45.2	88.3	19.2	-53.49	-	B 2	C 1
Yunding C. (28)	2 - 25:34'4	Jiajun (23)	Pass	-	-	Header	-	Reception	-	13.6	13.6	00:02'8	17.5	75.7	25.9	-48.19	-	C 1	B 1
Jiajun (23)	2 - 25:37'2	Jiajun (23)	Reception	-	-	-	-	Pass	-	2.1	2.1	00:01'1	6.7	85.2	24.5	-41.48	-	B 1	B 1
Jiajun (23)	2 - 25:38'3	Qian J. (26)	Pass	-	-	-	-	Pass	-	12.4	12.4	00:00'9	49.8	83.1	23.6	-44.25	-	B 1	C 2
Qian J. (26)	2 - 25:39'2	Jiajun (23)	Pass	-	-	-	-	Pass	-	14	14	00:02'0	25.2	72.1	12.1	-62.47	-	C 2	B 1
Jiajun (23)	2 - 25:41'2	-	Pass	-	-	-	-	Out for throw-in	Indiv. loss of poss.	54.4	54.4	00:04'9	40	79.8	26.9	-44.91	-	B 1	E 1
Shangyuan (26)	2 - 25:52'1	Zhou D. (08)	Pass	-	Throw-in	Two hands	-	Reception	-	32.5	32.5	00:03'5	33.4	94.1	33.4	26.45	-	E 1	E 2
Zhou D. (08)	2 - 25:55'6	Zhou D. (08)	Reception	-	-	-	-	Running with ball	-	8.1	8.1	00:01'6	18.2	76.5	19.9	75.64	-	E 2	E 3
Zhou D. (08)	2 - 25:57'2	Zhou D. (08)	Running with ball	-	-	-	-	Running with ball	-	1.8	1.8	00:01'7	3.8	74.3	23.7	-89.07	-	E 3	E 3
Zhou D. (08)	2 - 25:58'9	Zhou D. (08)	Running with ball	-	-	-	-	Running with ball	-	2.8	2.8	00:01'7	6	72.7	25.8	-87.7	-	E 3	D 3
Zhou D. (08)	2 - 26:00'6	Zhou D. (08)	Running with ball	-	-	-	-	Pass	-	4.9	4.9	00:02'2	8	69.9	26	-87.23	-	D 3	D 3
Zhou D. (08)	2 - 26:02'8	Chen (25)	Pass	-	-	-	-	Reception	-	19.1	19.1	00:03'1	22.2	65	23.7	-87.14	-	D 3	E 2
Chen (25)	2 - 26:05'9	Chen (25)	Reception	-	-	-	-	Pass	-	1.4	1.4	00:01'1	4.7	73.3	35.6	64.47	-	E 2	E 2
Chen (25)	2 - 26:07'0	Jiajun (23)	Pass	Gaining(23.Jia)	-	-	-	Neutral contact	Indiv. loss of poss.	52.6	31.6	00:01'8	63.2	72.4	34.2	63.97	-	E 2	C 1
Jiajun (23)	2 - 26:08'8	Shin Wook (20)	Neutral contact	-	Ground duel	-	-	Pass	Gaining neutral touch	21	21	00:02'2	34.4	70	24.1	-55.76	-	C 1	D 1
Shin Wook (20)	2 - 26:11'0	Yunding C. (28)	Pass	-	-	-	-	Reception	Coll. gain of poss.	9.4	9.4	00:01'2	28.3	49.1	22.6	-64.79	-	D 1	D 1
Yunding C. (28)	2 - 26:12'2	Yunding C. (28)	Reception	-	-	-	-	Running with ball	-	1	1	00:01'0	3.5	57.8	20.7	-60.91	-	D 1	D 1
Yunding C. (28)	2 - 26:13'2	Yunding C. (28)	Running with ball	-	-	-	-	Pass	-	1.7	1.7	00:01'3	4.7	56.8	18.7	-60.82	-	D 1	D 1
Yunding C. (28)	2 - 26:14'5	Jiajun (23)	Pass	-	-	-	-	Pass	-	11.1	11.1	00:01'6	25	57.8	19	-59.44	-	D 1	C 1
Jiajun (23)	2 - 26:16'1	Qian J. (26)	Pass	-	-	-	-	Reception	-	9.2	9.2	00:01'1	30.1	68.4	24.3	-54.58	-	C 1	C 1
Qian J. (26)	2 - 26:17'2	Qian J. (26)	Reception	-	-	-	-	Pass	-	0.4	0.4	00:01'0	1.6	64.6	18.2	-63.33	-	C 1	C 1
Qian J. (26)	2 - 26:18'2	Zhu C. (05)	Pass	-	-	-	-	Reception	-	15.7	15.7	00:02'1	26.8	64.9	19.6	-62.82	-	C 1	B 2
Zhu C. (05)	2 - 26:20'3	Zhu C. (05)	Reception	-	-	-	-	Pass	-	3.4	3.4	00:01'1	11.3	73.5	28.7	-69.27	-	B 2	B 2
Zhu C. (05)	2 - 26:21'4	Yunqiu (16)	Pass	-	-	-	-	Reception	-	25	25	00:01'5	60.1	71.6	27.2	-74.86	-	B 2	C 3
Yunqiu (16)	2 - 26:22'9	Yunqiu (16)	Reception	-	-	-	-	Running with ball	-	1.6	1.6	00:01'0	5.9	70.2	33	66.78	-	C 3	C 3
Yunqiu (16)	2 - 26:23'9	Yunqiu (16)	Running with ball	-	-	-	-	Running with ball	-	2.9	2.9	00:01'2	8.8	69.4	32.4	65.85	-	C 3	C 3
Yunqiu (16)	2 - 26:25'1	Yunqiu (16)	Running with ball	-	-	-	-	Pass	-	0.7	0.7	00:01'7	1.5	68.4	32.1	63.9	-	C 3	C 3
Yunqiu (16)	2 - 26:26'8	Jiang S. (04)	Pass	-	-	-	-	Pass	-	4.8	4.8	00:01'2	14.4	68.6	32.1	63.09	-	C 3	C 3
Jiang S. (04)	2 - 26:28'0	Cong Z. (39)	Pass	-	-	-	-	Pass	-	9	9	00:01'4	23.1	68.2	30.9	68.33	-	C 3	C 3
Cong Z. (39)	2 - 26:29'4	Jiang S. (04)	Pass	-	-	-	-	Reception	-	11.3	11.3	00:01'4	29	59.4	22.6	75.73	-	C 3	C 3
Jiang S. (04)	2 - 26:30'8	Jiang S. (04)	Reception	-	-	-	-	Pass	-	2.6	2.6	00:00'9	10.3	70.7	32.6	68.87	-	C 3	B 3
Jiang S. (04)	2 - 26:31'7	Zhu C. (05)	Pass	-	-	-	-	Pass	-	43.6	43.6	00:05'0	31.4	72.5	33.2	69.89	-	B 3	B 1
Zhu C. (05)	2 - 26:36'7	Du C. (07)	Pass	-	-	-	-	Clearance	Indiv. loss of poss.	63.2	63.2	00:05'8	39.2	87.7	37.6	-37.08	-	B 1	E 2
Du C. (07)	2 - 26:42'5	Yan Wu (17)	Clearance	-	-	Header	-	High catch gk	Indiv. gain of poss.	14.5	14.5	00:01'9	27.4	85.1	21.7	55.69	-	E 2	F 2
Yan Wu (17)	2 - 26:44'4	Yan Wu (17)	High catch gk	-	-	Two hands	-	Pass	-	0.6	0.6	00:01'0	2.2	95	29.6	63.66	-	F 2	F 2
Yan Wu (17)	2 - 26:45'4	Shangyuan (26)	Pass	-	-	Two hands	-	Reception	-	30	30	00:04'5	24	94.4	30.1	65.39	-	F 2	E 3
Shangyuan (26)	2 - 26:49'9	Shangyuan (26)	Reception	-	-	-	-	Pass	-	1.7	1.7	00:00'8	7.9	73.8	23.7	-64.85	-	E 3	E 3
Shangyuan (26)	2 - 26:50'7	Zhou D. (08)	Pass	-	-	-	-	Reception	-	16	16	00:01'1	52.4	72.4	23.7	-64.92	-	E 3	D 3
Zhou D. (08)	2 - 26:51'8	Zhou D. (08)	Reception	-	-	-	-	Pass	-	2.1	2.1	00:01'2	6.2	63.8	14	-87.78	-	D 3	D 3
Zhou D. (08)	2 - 26:53'0	Shangyuan (26)	Pass	-	-	-	-	Reception	-	12.5	12.5	00:01'1	41.1	65.2	17.4	-85.41	-	D 3	D 3
Shangyuan (26)	2 - 26:54'1	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	5.2	5.2	00:01'2	15.7	68	24.2	-67.97	-	D 3	D 3
Shangyuan (26)	2 - 26:55'3	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	6.9	6.9	00:01'2	20.7	64.8	23.4	-66.38	-	D 3	D 4
Shangyuan (26)	2 - 26:56'5	Lu Y. (27)	Pass	-	-	-	-	Reception	-	6.8	6.8	00:00'9	27.2	60.1	21.5	-65.86	-	D 4	D 4
Lu Y. (27)	2 - 26:57'4	Lu Y. (27)	Reception	-	-	-	-	Pass	-	0.1	0.1	00:00'1	-	61.8	26.1	-60.29	-	D 4	D 4
Lu Y. (27)	2 - 26:57'5	Shangyuan (26)	Pass	-	-	-	-	Pass	-	5.8	5.8	00:00'9	23.1	61.7	26	-60.38	-	D 4	C 4
Shangyuan (26)	2 - 26:58'4	Zhou D. (08)	Pass	-	-	-	-	Reception	-	21.6	21.6	00:02'2	35.3	56	20.5	-62.43	-	C 4	E 3
Zhou D. (08)	2 - 27:00'6	Zhou D. (08)	Reception	-	-	Chest	-	Running with ball	-	1.7	1.7	00:01'1	5.4	72.7	30.1	-61.18	-	E 3	E 3
Zhou D. (08)	2 - 27:01'7	Zhou D. (08)	Running with ball	-	-	-	-	Pass	-	1.2	1.2	00:01'0	4.4	74.3	31.2	-59.21	-	E 3	E 3
Zhou D. (08)	2 - 27:02'7	Chen (25)	Pass	-	-	-	-	Reception	-	28.8	28.8	00:01'7	61	75.1	31.5	-59.35	-	E 3	E 2
Chen (25)	2 - 27:04'4	Chen (25)	Reception	-	-	-	-	Running with ball	-	3.7	3.7	00:01'7	7.9	72.5	30.3	73.83	-	E 2	D 2
Chen (25)	2 - 27:06'1	Chen (25)	Running with ball	-	-	-	-	Pass	-	3	3	00:01'5	7.1	69.7	27.9	72.42	-	D 2	D 2
Chen (25)	2 - 27:07'6	Yan Wu (17)	Pass	-	-	-	-	Pass	-	28.9	28.9	00:03'8	27.4	68.8	27.6	69.49	-	D 2	E 3
Yan Wu (17)	2 - 27:11'4	Zhou D. (08)	Pass	-	-	-	-	Pass	-	15.7	15.7	00:02'5	22.6	83.8	40.8	-65.36	-	E 3	E 3
Zhou D. (08)	2 - 27:13'9	Shangyuan (26)	Pass	-	-	-	-	Reception	-	12.9	12.9	00:01'5	31.1	72.7	30.2	-61.62	-	E 3	D 4
Shangyuan (26)	2 - 27:15'4	Shangyuan (26)	Reception	-	-	-	-	Running with ball	-	4.4	4.4	00:01'2	13.2	66.9	26.7	-57.77	-	D 4	D 4
Shangyuan (26)	2 - 27:16'6	Shangyuan (26)	Running with ball	-	-	-	-	Pass	-	1.5	1.5	00:01'3	4	68.2	25.6	-59.43	-	D 4	D 4
Shangyuan (26)	2 - 27:17'9	Zhu C. (05)	Pass	Gaining(05.Zhu)	-	-	-	Neutral contact	Indiv. loss of poss.	57.1	51.5	00:03'8	48.8	68.1	25.4	-60.65	-	D 4	B 2
Zhu C. (05)	2 - 27:21'7	Qian J. (26)	Neutral contact	-	Air duel	Header	-	Reception	Gaining neutral touch	5.6	5.6	00:00'6	33.6	82	17.1	-70.04	-	B 2	B 2
Qian J. (26)	2 - 27:22'3	Qian J. (26)	Reception	-	-	-	-	Pass	Coll. gain of poss.	2.8	2.8	00:00'9	11	76.8	10.2	-77.73	-	B 2	B 2
Qian J. (26)	2 - 27:23'2	Zhong (30)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	20.6	20.6	00:02'0	37.1	78.6	8.8	-80.78	-	B 2	C 2
Zhong (30)	2 - 27:25'2	Du C. (07)	Pass	-	-	Header	-	Pass	Indiv. gain of poss.	20.4	20.4	00:02'3	32	47.3	12.9	85.03	-	C 2	C 1
Du C. (07)	2 - 27:27'5	Chen (25)	Pass	-	-	-	-	Reception	-	16.6	16.6	00:02'7	22.1	52	27	61.91	-	C 1	D 1
Chen (25)	2 - 27:30'2	Chen (25)	Reception	-	-	-	-	Running with ball	-	3.5	3.5	00:01'3	9.7	65.1	28.6	64.89	-	D 1	D 1
Chen (25)	2 - 27:31'5	Chen (25)	Running with ball	-	-	-	-	Pass	-	2.6	2.6	00:01'5	6.2	62.9	28.1	64.49	-	D 1	D 1
Chen (25)	2 - 27:33'0	Zhong (30)	Pass	-	-	-	-	Reception	-	10.6	10.6	00:00'9	42.5	61	27.7	64.63	-	D 1	D 2
Zhong (30)	2 - 27:33'9	Zhong (30)	Reception	-	-	-	-	Pass	-	2.4	2.4	00:01'1	7.9	57.3	20.6	75.83	-	D 2	D 2
Zhong (30)	2 - 27:35'0	Cong Z. (39)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	12.2	12.2	00:01'0	43.8	55.7	19.7	78.43	-	D 2	C 2
Cong Z. (39)	2 - 27:36'0	Shin Wook (20)	Pass	-	-	-	-	Reception	Indiv. gain of poss.	7.8	7.8	00:01'1	25.7	61.6	8.7	-83.07	-	C 2	C 2
Shin Wook (20)	2 - 27:37'1	Shin Wook (20)	Reception	-	-	-	-	Pass	-	0.3	0.3	00:00'3	3.8	55.8	15.6	-79.04	-	C 2	C 2
Shin Wook (20)	2 - 27:37'4	Cong Z. (39)	Pass	-	-	-	-	Reception	-	3.3	3.3	00:00'4	29.4	55.8	14.6	-79.35	-	C 2	C 2
Cong Z. (39)	2 - 27:37'8	Cong Z. (39)	Reception	-	-	-	-	Running with ball	-	4.1	4.1	00:00'7	21.1	58.9	13.2	-76.97	-	C 2	C 2
Cong Z. (39)	2 - 27:38'5	Cong Z. (39)	Running with ball	-	-	-	-	Pass	-	5.3	5.3	00:01'0	19.1	56.7	15.6	-74.57	-	C 2	D 2
Cong Z. (39)	2 - 27:39'5	Chen (25)	Pass	-	-	-	-	Pass	Indiv. loss of poss.	3.6	3.6	00:00'1	-	54.2	17.6	-71.06	-	D 2	D 2
Chen (25)	2 - 27:39'6	Zhong (30)	Pass	-	-	-	-	Pass	Indiv. gain of poss.	1.9	1.9	00:01'4	4.9	60.1	19.4	69.12	-	D 2	D 2
Zhong (30)	2 - 27:41'0	Yunding C. (28)	Pass	-	-	-	-	Reception	Indiv. loss of poss.	8.2	8.2	00:01'5	19.6	62	16.6	67.39	-	D 2	D 1
Yunding C. (28)	2 - 27:42'5	Yunding C. (28)	Reception	-	Ground duel	-	-	Running with ball	Indiv. gain of poss.	5.8	5.8	00:01'8	11.6	56.8	21.3	-62.67	-	D 1	C 1
Yunding C. (28)	2 - 27:44'3	Yunding C. (28)	Running with ball	-	-	-	-	Running with ball	-	1.3	1.3	00:00'6	7.5	61.5	24.9	-58.92	-	C 1	D 1
Yunding C. (28)	2 - 27:44'9	-	Running with ball	-	Tackle	-	-	Out for throw-in	Indiv. loss of poss.	5	5	00:00'5	35.9	61.6	25.1	-58.14	-	D 1	C 1
Du C. (07)	2 - 28:06'8	Ivo (29)	Pass	-	Throw-in	Two hands	-	Pass	-	16.2	16.2	00:01'5	38.9	60.4	30	53.89	-	C 1	B 1
Ivo (29)	2 - 28:08'3	Zhu C. (05)	Pass	-	-	Header	-	Reception	Indiv. loss of poss.	10.2	10.2	00:01'2	30.5	44.3	17.6	51.78	-	B 1	B 1
Zhu C. (05)	2 - 28:09'5	Zhu C. (05)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	3.7	3.7	00:01'3	10.2	83.2	18.1	-46.75	-	B 1	B 1
Zhu C. (05)	2 - 28:10'8	Shilin (37)	Pass	-	-	-	-	Reception	-	17.1	17.1	00:01'0	61.7	80.7	16.5	-52.69	-	B 1	B 2
Shilin (37)	2 - 28:11'8	Shilin (37)	Reception	-	-	-	-	Pass	-	3.1	3.1	00:00'8	14	70.6	7.1	-81.45	-	B 2	B 2
Shilin (37)	2 - 28:12'6	Yunqiu (16)	Pass	-	-	-	-	Reception	-	20.2	20.2	00:02'0	36.4	71.2	10.4	-86.28	-	B 2	B 3
Yunqiu (16)	2 - 28:14'6	Yunqiu (16)	Reception	-	-	-	-	Running with ball	-	6	6	00:01'2	18	72.6	24.3	62.58	-	B 3	C 4
Yunqiu (16)	2 - 28:15'8	-	Running with ball	-	-	-	-	Foul - dir. free-kick	-	2.3	2.3	00:00'6	14.1	68.2	23.5	62.53	-	C 4	C 4
Jiang S. (04)	2 - 28:52'6	Cong Z. (39)	Pass	-	Direct free-kick	-	Straight	Reception	-	7.4	7.4	00:01'2	22.1	66.6	36.2	59.39	-	C 4	C 3
Cong Z. (39)	2 - 28:53'8	Cong Z. (39)	Reception	-	-	-	-	Running with ball	-	1.3	1.3	00:01'3	3.5	62.3	30.2	67.7	-	C 3	C 3
Cong Z. (39)	2 - 28:55'1	Cong Z. (39)	Running with ball	-	-	-	-	Running with ball	-	2.4	2.4	00:01'2	7.2	62.3	29.3	68.84	-	C 3	C 3
Cong Z. (39)	2 - 28:56'3	Cong Z. (39)	Running with ball	-	-	-	-	Running with ball	-	2.2	2.2	00:01'7	4.7	61.9	28.8	71.45	-	C 3	C 3
Cong Z. (39)	2 - 28:58'0	Cong Z. (39)	Running with ball	-	-	-	-	Pass	-	2.2	2.2	00:01'2	6.5	61.4	28.9	74	-	C 3	C 3
Cong Z. (39)	2 - 28:59'2	Qian J. (26)	Pass	-	-	-	-	Reception	-	13.9	13.9	00:00'8	62.5	60.2	27.3	76.61	-	C 3	D 3
Qian J. (26)	2 - 29:00'0	Qian J. (26)	Reception	-	-	-	-	Pass	-	2.1	2.1	00:01'0	7.6	48.8	13.7	88	-	D 3	D 3
Qian J. (26)	2 - 29:01'0	Shilin (37)	Pass	-	-	-	-	Reception	-	35.9	35.9	00:02'3	56.2	48.2	13.5	85.6	-	D 3	E 4
Shilin (37)	2 - 29:03'3	Shilin (37)	Reception	-	-	-	-	Cross	-	4.2	4.2	00:01'2	12.6	41.4	33.4	39.11	-	E 4	E 4
Shilin (37)	2 - 29:04'5	Hu R. (02)	Cross	Gaining(02.Hu)	-	-	-	Neutral contact	-	17.5	8	00:00'5	57.3	38.9	32.4	34.22	-	E 4	E 4
Hu R. (02)	2 - 29:05'0	-	Neutral contact	-	-	-	-	Out for throw-in	-	9.6	9.6	00:00'9	38.2	91.9	27.9	-33.02	-	E 4	F 4
Yunqiu (16)	2 - 29:21'1	Cong Z. (39)	Pass	-	Throw-in	Two hands	-	Reception	-	9.3	9.3	00:01'2	28	38	25.8	22.11	-	F 4	E 4
Cong Z. (39)	2 - 29:22'3	Cong Z. (39)	Reception	-	-	Chest	-	Running with ball	-	0.4	0.4	00:00'5	2.6	37	19.5	36.31	-	E 4	E 4
Cong Z. (39)	2 - 29:22'8	Cong Z. (39)	Running with ball	-	-	-	-	Pass	-	0.6	0.6	00:01'3	1.6	36.6	20.1	36.12	-	E 4	E 4
Cong Z. (39)	2 - 29:24'1	Yunqiu (16)	Pass	-	-	-	-	Reception	-	5	5	00:00'8	22.6	36.6	22.2	35.21	-	E 4	E 4
Yunqiu (16)	2 - 29:24'9	Yunqiu (16)	Reception	-	-	-	-	Cross	-	1.3	1.3	00:01'0	4.8	37.4	27.6	27.52	-	E 4	F 4
Yunqiu (16)	2 - 29:25'9	Zhou D. (08)	Cross	-	-	-	-	Clearance	Indiv. loss of poss.	15.3	15.3	00:00'7	78.4	36.6	28.9	25.93	-	F 4	F 3
Zhou D. (08)	2 - 29:26'6	-	Clearance	-	-	Header	-	Out for corner	Indiv. loss of poss. - Indiv. gain of poss.	15.1	15.1	00:01'6	34	96.1	20.9	-29.91	-	F 3	F 3
Yunding C. (28)	2 - 30:26'8	Chen (25)	Cross	-	Corner	-	-	Clearance	Indiv. loss of poss.	31.7	31.7	00:01'5	76	33.8	45.1	0.51	-	F 4	F 3
Chen (25)	2 - 30:28'3	Shilin (37)	Clearance	-	-	-	-	Shot not on target	Indiv. loss of poss. - Indiv. gain of poss.	11.3	11.3	00:01'5	27.2	96.6	14.2	-69.37	-	F 3	E 3
Shilin (37)	2 - 30:29'8	Karanga (37)	Shot not on target	-	-	Right foot	-	Clearance	Indiv. loss of poss. - Indiv. gain of poss.	14	14	00:00'6	84.3	20.2	17	61.03	Out left (Middle)	E 3	F 2
Karanga (37)	2 - 30:30'4	-	Clearance	-	-	Header	-	Out for corner	Indiv. loss of poss. - Indiv. gain of poss.	16	16	00:01'2	48	96.4	13.5	84.03	-	F 2	F 3
Yunding C. (28)	2 - 30:57'3	Chen (25)	Cross	Gaining(25.Che)	Corner	-	-	Neutral contact	-	38.8	32.1	00:01'3	88.9	33.6	44.9	0.34	-	F 4	F 3
Chen (25)	2 - 30:58'6	-	Neutral contact	-	Air duel	Header	-	Out for corner	-	6.7	6.7	00:01'0	24	98.7	14.9	-71.57	-	F 3	F 3
Yunding C. (28)	2 - 31:23'1	Hu R. (02)	Cross	Gaining(02.Hu)	Corner	-	-	Neutral contact	Indiv. loss of poss.	52.2	33.7	00:01'6	75.7	33.7	44.9	0.51	-	F 4	F 3
Hu R. (02)	2 - 31:24'7	Zhong (30)	Neutral contact	-	Air duel	Header	-	Clearance	Gaining neutral touch	18.6	18.6	00:03'4	19.6	99.2	14.5	-85.07	-	F 3	F 3
Zhong (30)	2 - 31:28'1	Zhu C. (05)	Clearance	-	-	-	-	Reception	Indiv. loss of poss. - Coll. gain of poss.	2.3	2.3	00:00'9	9.2	99.6	25.1	-20.75	-	F 3	F 4
Zhu C. (05)	2 - 31:29'0	Zhu C. (05)	Reception	-	-	-	-	Pass	Indiv. gain of poss.	4.5	4.5	00:02'3	7.1	21.7	24.7	15.76	-	F 4	F 3
Zhu C. (05)	2 - 31:31'3	-	Pass	-	-	-	-	Out for throw-in	Indiv. loss of poss.	20.1	20.1	00:02'2	32.9	19.9	19.6	4.33	-	F 3	F 4
Hu R. (02)	2 - 31:48'0	Ivo (29)	Pass	-	Throw-in	Two hands	-	Reception	-	5.8	5.8	00:01'0	20.7	96.8	27.4	-22.78	-	F 4	F 4
Ivo (29)	2 - 31:49'0	Ivo (29)	Reception	-	-	-	-	Pass	-	1.2	1.2	00:01'7	2.5	98.7	28.4	-20	-	F 4	F 4
Ivo (29)	2 - 31:50'7	Jiang S. (04)	Pass	Gaining(04.Jia)	-	-	-	Neutral contact	Indiv. loss of poss.	64.7	51.3	00:03'0	61.6	97.8	29.8	-21.55	-	F 4	C 3
Jiang S. (04)	2 - 31:53'7	Qian J. (26)	Neutral contact	-	Air duel	Header	-	Reception	Gaining neutral touch	13.4	13.4	00:02'0	24.1	65.3	18.4	65.23	-	C 3	C 3
Qian J. (26)	2 - 31:55'7	Qian J. (26)	Reception	-	-	-	-	Pass	Coll. gain of poss.	8.8	8.8	00:01'8	17.6	61.3	10	81.72	-	C 3	C 3
Qian J. (26)	2 - 31:57'5	Jiajun (23)	Pass	-	-	-	-	Reception	-	28.1	28.1	00:02'6	38.9	67.6	16.2	70.9	-	C 3	C 2
Jiajun (23)	2 - 32:00'1	Jiajun (23)	Reception	-	-	-	-	Pass	-	4.2	4.2	00:01'2	12.5	70.5	27.3	-67.92	-	C 2	C 2
Jiajun (23)	2 - 32:01'3	Yunding C. (28)	Pass	-	-	-	-	Pass	-	14	14	00:01'4	36	69.8	28.3	-63.98	-	C 2	C 1
Yunding C. (28)	2 - 32:02'7	Jiajun (23)	Pass	-	-	-	-	Reception	-	6.6	6.6	00:01'4	16.9	60.9	24.8	-62.75	-	C 1	C 1
Jiajun (23)	2 - 32:04'1	Jiajun (23)	Reception	-	-	-	-	Running with ball	-	2.2	2.2	00:01'7	4.7	67.5	29.1	-57.29	-	C 1	C 1
Jiajun (23)	2 - 32:05'8	Jiajun (23)	Running with ball	-	-	-	-	Running with ball	-	2.6	2.6	00:01'8	5.1	65.6	25.8	-59.74	-	C 1	C 1
Jiajun (23)	2 - 32:07'6	Jiajun (23)	Running with ball	-	-	-	-	Pass	-	2.6	2.6	00:01'4	6.7	63	24.3	-61.86	-	C 1	C 1
